[2025-08-15 10:00:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":196,"position":29,"state":"CLOSE"}'
[2025-08-15 10:00:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":184,"position":1,"state":"OPEN"}'
[2025-08-15 10:00:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":172,"position":1,"state":"OPEN"}'
[2025-08-15 10:00:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":188,"position":1,"state":"OPEN"}'
[2025-08-15 10:00:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":192,"position":7,"state":"OPEN"}'
[2025-08-15 10:00:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":192,"position":7,"state":"OPEN"}'
[2025-08-15 10:00:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":172,"position":7,"state":"OPEN"}'
[2025-08-15 10:00:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":188,"position":7,"state":"OPEN"}'
[2025-08-15 10:00:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":188,"position":11,"state":"OPEN"}'
[2025-08-15 10:00:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":192,"position":11,"state":"OPEN"}'
[2025-08-15 10:00:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":172,"position":11,"state":"OPEN"}'
[2025-08-15 10:00:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":188,"position":11,"state":"OPEN"}'
[2025-08-15 10:00:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":188,"position":15,"state":"OPEN"}'
[2025-08-15 10:00:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":192,"position":15,"state":"OPEN"}'
[2025-08-15 10:00:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":168,"position":15,"state":"OPEN"}'
[2025-08-15 10:00:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":192,"position":15,"state":"OPEN"}'
[2025-08-15 10:00:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":192,"position":20,"state":"OPEN"}'
[2025-08-15 10:00:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":196,"position":20,"state":"OPEN"}'
[2025-08-15 10:00:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":172,"position":20,"state":"OPEN"}'
[2025-08-15 10:00:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":192,"position":20,"state":"OPEN"}'
[2025-08-15 10:00:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":196,"position":24,"state":"OPEN"}'
[2025-08-15 10:00:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":188,"position":24,"state":"OPEN"}'
[2025-08-15 10:00:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":172,"position":24,"state":"OPEN"}'
[2025-08-15 10:00:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":192,"position":24,"state":"OPEN"}'
[2025-08-15 10:00:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":196,"position":28,"state":"OPEN"}'
[2025-08-15 10:00:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":192,"position":28,"state":"OPEN"}'
[2025-08-15 10:00:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":172,"position":28,"state":"OPEN"}'
[2025-08-15 10:00:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":192,"position":28,"state":"OPEN"}'
[2025-08-15 10:00:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":192,"position":29,"state":"OPEN"}'
[2025-08-15 10:00:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":192,"position":29,"state":"OPEN"}'
[2025-08-15 10:00:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":172,"position":29,"state":"OPEN"}'
[2025-08-15 10:00:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":188,"position":29,"state":"OPEN"}'
[2025-08-15 10:00:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":132,"state":"OFF"}'
[2025-08-15 10:01:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/kitchen_wled_reset', payload '{"linkquality":108,"state":"ON"}'
[2025-08-15 10:01:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":112,"state":"OFF"}'
[2025-08-15 10:02:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/health', payload '{"response_time":1755266570477,"os":{"load_average":[0.55,0.72,0.86],"memory_used_mb":3656.53,"memory_percent":22.9986},"process":{"uptime_sec":1210,"memory_used_mb":103.94,"memory_percent":0.6537},"mqtt":{"connected":true,"queued":0,"published":157,"received":246},"devices":{"0x187a3efffe390622":{"messages":13,"messages_per_sec":0.0113,"leave_count":0,"network_address_changes":0},"0xb43a31fffed4e97c":{"messages":4,"messages_per_sec":0.0036,"leave_count":0,"network_address_changes":0},"0x187a3efffe38fe93":{"messages":4,"messages_per_sec":0.0037,"leave_count":0,"network_address_changes":0},"0xf4b3b1fffee0ce90":{"messages":13,"messages_per_sec":0.0121,"leave_count":0,"network_address_changes":0},"0x00124b00226a6adf":{"messages":4,"messages_per_sec":0.0039,"leave_count":0,"network_address_changes":0},"0x00124b00226a8e56":{"messages":4,"messages_per_sec":0.004,"leave_count":0,"network_address_changes":0},"0x00124b0023b7bed9":{"messages":4,"messages_per_sec":0.004,"leave_count":0,"network_address_changes":0},"0xf4b3b1fffee0d993":{"messages":13,"messages_per_sec":0.0131,"leave_count":0,"network_address_changes":0},"0x187a3efffe39122b":{"messages":4,"messages_per_sec":0.0044,"leave_count":0,"network_address_changes":0},"0x187a3efffe3908dd":{"messages":13,"messages_per_sec":0.0144,"leave_count":0,"network_address_changes":0},"0x187a3efffe392346":{"messages":3,"messages_per_sec":0.0044,"leave_count":0,"network_address_changes":0}}}'
[2025-08-15 10:05:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":136,"state":"OFF"}'
[2025-08-15 10:06:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/kitchen_wled_reset', payload '{"linkquality":124,"state":"ON"}'
[2025-08-15 10:06:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":112,"state":"OFF"}'
[2025-08-15 10:10:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":128,"state":"OFF"}'
[2025-08-15 10:11:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/kitchen_wled_reset', payload '{"linkquality":108,"state":"ON"}'
[2025-08-15 10:11:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":112,"state":"OFF"}'
[2025-08-15 10:12:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/health', payload '{"response_time":1755267170478,"os":{"load_average":[0.4,0.91,0.98],"memory_used_mb":3665.62,"memory_percent":23.0558},"process":{"uptime_sec":1810,"memory_used_mb":103.8,"memory_percent":0.6529},"mqtt":{"connected":true,"queued":0,"published":171,"received":246},"devices":{"0x187a3efffe390622":{"messages":15,"messages_per_sec":0.0086,"leave_count":0,"network_address_changes":0},"0xb43a31fffed4e97c":{"messages":6,"messages_per_sec":0.0035,"leave_count":0,"network_address_changes":0},"0x187a3efffe38fe93":{"messages":6,"messages_per_sec":0.0035,"leave_count":0,"network_address_changes":0},"0xf4b3b1fffee0ce90":{"messages":15,"messages_per_sec":0.009,"leave_count":0,"network_address_changes":0},"0x00124b00226a6adf":{"messages":6,"messages_per_sec":0.0037,"leave_count":0,"network_address_changes":0},"0x00124b00226a8e56":{"messages":6,"messages_per_sec":0.0037,"leave_count":0,"network_address_changes":0},"0x00124b0023b7bed9":{"messages":6,"messages_per_sec":0.0038,"leave_count":0,"network_address_changes":0},"0xf4b3b1fffee0d993":{"messages":15,"messages_per_sec":0.0094,"leave_count":0,"network_address_changes":0},"0x187a3efffe39122b":{"messages":6,"messages_per_sec":0.004,"leave_count":0,"network_address_changes":0},"0x187a3efffe3908dd":{"messages":15,"messages_per_sec":0.01,"leave_count":0,"network_address_changes":0},"0x187a3efffe392346":{"messages":5,"messages_per_sec":0.0039,"leave_count":0,"network_address_changes":0}}}'
[2025-08-15 10:15:20] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":192,"position":29,"state":"OPEN"}'
[2025-08-15 10:15:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":132,"state":"OFF"}'
[2025-08-15 10:16:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/kitchen_wled_reset', payload '{"linkquality":112,"state":"ON"}'
[2025-08-15 10:16:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":112,"state":"OFF"}'
[2025-08-15 10:20:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":140,"state":"OFF"}'
[2025-08-15 10:21:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/kitchen_wled_reset', payload '{"linkquality":112,"state":"ON"}'
[2025-08-15 10:21:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":112,"state":"OFF"}'
[2025-08-15 10:22:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/health', payload '{"response_time":1755267770479,"os":{"load_average":[1.55,1.11,0.99],"memory_used_mb":3632.99,"memory_percent":22.8506},"process":{"uptime_sec":2410,"memory_used_mb":104.01,"memory_percent":0.6542},"mqtt":{"connected":true,"queued":0,"published":187,"received":246},"devices":{"0x187a3efffe390622":{"messages":17,"messages_per_sec":0.0072,"leave_count":0,"network_address_changes":0},"0xb43a31fffed4e97c":{"messages":8,"messages_per_sec":0.0035,"leave_count":0,"network_address_changes":0},"0x187a3efffe38fe93":{"messages":8,"messages_per_sec":0.0035,"leave_count":0,"network_address_changes":0},"0xf4b3b1fffee0ce90":{"messages":20,"messages_per_sec":0.0088,"leave_count":0,"network_address_changes":0},"0x00124b00226a6adf":{"messages":8,"messages_per_sec":0.0036,"leave_count":0,"network_address_changes":0},"0x00124b00226a8e56":{"messages":8,"messages_per_sec":0.0036,"leave_count":0,"network_address_changes":0},"0x00124b0023b7bed9":{"messages":8,"messages_per_sec":0.0036,"leave_count":0,"network_address_changes":0},"0xf4b3b1fffee0d993":{"messages":17,"messages_per_sec":0.0078,"leave_count":0,"network_address_changes":0},"0x187a3efffe39122b":{"messages":8,"messages_per_sec":0.0038,"leave_count":0,"network_address_changes":0},"0x187a3efffe3908dd":{"messages":17,"messages_per_sec":0.0081,"leave_count":0,"network_address_changes":0},"0x187a3efffe392346":{"messages":7,"messages_per_sec":0.0037,"leave_count":0,"network_address_changes":0}}}'
[2025-08-15 10:25:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":136,"state":"OFF"}'
